Statement,URL,Source
Video shows “leaked audio” of Vice President JD Vance criticizing Elon Musk and saying “he's making us look bad.”,https://www.politifact.com/factchecks/2025/mar/24/tweets/why-you-should-be-skeptical-of-that-leaked-audio-o/,X posts
El presidente Donald Trump “firma orden ejecutiva para obligar a los bancos a que les quiten un 10% de dinero” de sus ahorros a los inmigrantes.,https://www.politifact.com/factchecks/2025/mar/21/facebook-posts/donald-trump-no-firmo-una-orden-que-obliga-a-banco/,Facebook posts
"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",https://www.politifact.com/factchecks/2025/mar/21/ian-miles-cheong/netflix-hit-show-adolescence-was-not-based-on-sout/,Ian Miles Cheong
“Nueva ley en EE.UU. impone cadena perpetua a inmigrantes que residen ilegalmente en el país”.,https://www.politifact.com/factchecks/2025/mar/21/facebook-posts/no-el-congreso-no-aprobo-una-ley-que-da-cadena-per/,Facebook posts
The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,https://www.politifact.com/factchecks/2025/mar/20/harriet-hageman/does-less-than-25-of-education-department-spending/,Harriet Hageman
Files reveal that John F. Kennedy Jr. wrote a 1994 letter calling then-Sen. Joe Biden “a traitor” before Kennedy’s 1999 death.,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/no-jfk-jr-didnt-write-a-letter-saying-that-former/,Facebook posts
Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/was-zelenskyys-pennsylvania-visit-election-interfe/,Facebook posts
“Social Security is the biggest Ponzi scheme of all time.”,https://www.politifact.com/factchecks/2025/mar/19/elon-musk/is-social-security-a-ponzi-scheme-fact-checking-el/,Elon Musk
"President Donald Trump wrote on Truth Social that, “After I’ve annexed Greenland and making it the 52nd State, I will annexe Alaska.”",https://www.politifact.com/factchecks/2025/mar/19/threads-posts/purported-president-donald-trump-truth-social-post/,Threads posts
"“A lot of studies” show that getting measles ""boosts your immune system later in life against cancers, atopic diseases, cardiac disease.""",https://www.politifact.com/factchecks/2025/mar/19/robert-f-kennedy-jr/robert-f-kennedy-jr-says-measles-infection-may-hav/,Robert F. Kennedy Jr.
"A $600,000 federal grant went to study “menstrual cycles in transgender men.”",https://www.politifact.com/factchecks/2025/mar/19/brooke-rollins/canceled-usda-grant-funded-research-into-all-natur/,Brooke Rollins
