Statement,Summary,Importance Score,Direction,Link,Source
“El nuevo presidente ha aprobado el Programa Nacional de Alivio de Deuda 2025 para todos los hispanoamericanos”.,“El nuevo presidente ha aprobado el Programa Nacional de Alivio de Deuda 2025 para todos los hispanoamericanos”.,0.1703009659611715,Positive,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/donald-trump-no-aprobo-un-nuevo-programa-nacional/,Facebook posts
Imagen muestra a “uno de los manifestantes que participó en el vandalismo contra un concesionario de Tesla. La deportación a El Salvador fue consecuencia de sus acciones”.,Imagen muestra a “uno de los manifestantes que participó en el vandalismo contra un concesionario de Tesla. La deportación a El Salvador fue consecuencia de sus acciones”.,0.22954636131427336,Negative,https://www.politifact.com/factchecks/2025/mar/27/facebook-posts/no-esta-imagen-no-es-de-un-hombre-arrestado-por-va/,Facebook posts
People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,0.0938198613456812,Negative,https://www.politifact.com/factchecks/2025/mar/27/tiktok-posts/people-can-get-student-debt-erased-by-filing-famil/,TikTok posts
Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”,Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”,0.050374817272941505,Negative,https://www.politifact.com/factchecks/2025/mar/26/facebook-posts/no-elon-musk-didnt-say-tesla-is-doomed/,Facebook posts
"""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.","""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.",0.02200875716429165,Negative,https://www.politifact.com/factchecks/2025/mar/26/pete-hegseth/fact-checking-pete-hegseths-false-statement-that-n/,Pete Hegseth
“El presidente Donald Trump anunció una nueva ley que prohíbe a los inmigrantes hablar español en público en los Estados Unidos”.,“El presidente Donald Trump anunció una nueva ley que prohíbe a los inmigrantes hablar español en público en los Estados Unidos”.,0.32915351889675926,Negative,https://www.politifact.com/factchecks/2025/mar/25/tiktok-posts/trump-designo-el-ingles-como-idioma-oficial-en-eeu/,TikTok posts
“La medida audaz de Canadá: Tesla y la industria automotriz estadounidense cierran”.,“La medida audaz de Canadá: Tesla y la industria automotriz estadounidense cierran”.,0.05249681040672161,Negative,https://www.politifact.com/factchecks/2025/mar/25/facebook-posts/autos-teslas-y-de-otras-companias-estadounidense-a/,Facebook posts
Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”,Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”,0.029814239699997195,Positive,https://www.politifact.com/factchecks/2025/mar/25/tweets/gen-colin-powell-appeared-on-arlington-national-ce/,X posts
"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""","“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",0.030248719630000878,Positive,https://www.politifact.com/factchecks/2025/mar/25/nick-lalota/lalota-says-he-was-voting-to-protect-medicaid-othe/,Nick LaLota
Video shows “leaked audio” of Vice President JD Vance criticizing Elon Musk and saying “he's making us look bad.”,Video shows “leaked audio” of Vice President JD Vance criticizing Elon Musk and saying “he's making us look bad.”,0.07912436393425529,Negative,https://www.politifact.com/factchecks/2025/mar/24/tweets/why-you-should-be-skeptical-of-that-leaked-audio-o/,X posts
El presidente Donald Trump “firma orden ejecutiva para obligar a los bancos a que les quiten un 10% de dinero” de sus ahorros a los inmigrantes.,El presidente Donald Trump “firma orden ejecutiva para obligar a los bancos a que les quiten un 10% de dinero” de sus ahorros a los inmigrantes.,0.22154686342452823,Negative,https://www.politifact.com/factchecks/2025/mar/21/facebook-posts/donald-trump-no-firmo-una-orden-que-obliga-a-banco/,Facebook posts
"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”","Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",0.035053682828763894,Negative,https://www.politifact.com/factchecks/2025/mar/21/ian-miles-cheong/netflix-hit-show-adolescence-was-not-based-on-sout/,Ian Miles Cheong
“Nueva ley en EE.UU. impone cadena perpetua a inmigrantes que residen ilegalmente en el país”.,“Nueva ley en EE.UU. impone cadena perpetua a inmigrantes que residen ilegalmente en el país”.,0.22958591934969358,Negative,https://www.politifact.com/factchecks/2025/mar/21/facebook-posts/no-el-congreso-no-aprobo-una-ley-que-da-cadena-per/,Facebook posts
The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,0.036514345399809814,Negative,https://www.politifact.com/factchecks/2025/mar/20/harriet-hageman/does-less-than-25-of-education-department-spending/,Harriet Hageman
Files reveal that John F. Kennedy Jr. wrote a 1994 letter calling then-Sen. Joe Biden “a traitor” before Kennedy’s 1999 death.,Files reveal that John F. Kennedy Jr. wrote a 1994 letter calling then-Sen. Joe Biden “a traitor” before Kennedy’s 1999 death.,0.036549478949993816,Negative,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/no-jfk-jr-didnt-write-a-letter-saying-that-former/,Facebook posts
Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,0.03087032057813327,Negative,https://www.politifact.com/factchecks/2025/mar/20/facebook-posts/was-zelenskyys-pennsylvania-visit-election-interfe/,Facebook posts
“Social Security is the biggest Ponzi scheme of all time.”,“Social Security is the biggest Ponzi scheme of all time.”,0.0,Positive,https://www.politifact.com/factchecks/2025/mar/19/elon-musk/is-social-security-a-ponzi-scheme-fact-checking-el/,Elon Musk
"President Donald Trump wrote on Truth Social that, “After I’ve annexed Greenland and making it the 52nd State, I will annexe Alaska.”","President Donald Trump wrote on Truth Social that, “After I’ve annexed Greenland and making it the 52nd State, I will annexe Alaska.”",0.04801550446635022,Positive,https://www.politifact.com/factchecks/2025/mar/19/threads-posts/purported-president-donald-trump-truth-social-post/,Threads posts
"“A lot of studies” show that getting measles ""boosts your immune system later in life against cancers, atopic diseases, cardiac disease.""","“A lot of studies” show that getting measles ""boosts your immune system later in life against cancers, atopic diseases, cardiac disease.""",0.057735026918962574,Positive,https://www.politifact.com/factchecks/2025/mar/19/robert-f-kennedy-jr/robert-f-kennedy-jr-says-measles-infection-may-hav/,Robert F. Kennedy Jr.
"A $600,000 federal grant went to study “menstrual cycles in transgender men.”","A $600,000 federal grant went to study “menstrual cycles in transgender men.”",0.08390216410022046,Positive,https://www.politifact.com/factchecks/2025/mar/19/brooke-rollins/canceled-usda-grant-funded-research-into-all-natur/,Brooke Rollins
“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/18/ro-khanna/congressman-blames-trump-team-for-ending-telehealt/,Ro Khanna
"Former President Joe Biden’s pardons of lawmakers on the committee investigating the Jan. 6, 2021,  U.S. Capitol attack “are hereby declared void, vacant, and of no further force or effect,” because “they were done by autopen.”","Former President Joe Biden’s pardons of lawmakers on the committee investigating the Jan. 6, 2021,  U.S. Capitol attack “are hereby declared void, vacant, and of no further force or effect,” because “they were done by autopen.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/17/donald-trump/are-biden-pardons-void-because-he-used-an-autopen/,Donald Trump
"DOGE found former first lady Michelle Obama “has been receiving a monthly $122,000 payment from the (General Services Administration) since 2009.”","DOGE found former first lady Michelle Obama “has been receiving a monthly $122,000 payment from the (General Services Administration) since 2009.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/17/facebook-posts/no-doge-didnt-find-that-the-general-services-admin/,Facebook posts
Elon Musk “launches a public campaign to terminate ‘The View.’”,Elon Musk “launches a public campaign to terminate ‘The View.’”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/17/facebook-posts/no-evidence-elon-musk-campaigned-to-cancel-the-vie/,Facebook posts
Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”,Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/14/alex-jones/infowars-reporter-jamie-white-who-was-fatally-shot/,Alex Jones
The Department of Government Efficiency “found a $6 million grant awarded to Whoopi Goldberg to ‘promote diversity on The View.’”,The Department of Government Efficiency “found a $6 million grant awarded to Whoopi Goldberg to ‘promote diversity on The View.’”,0.03312079642479381,Positive,https://www.politifact.com/factchecks/2025/mar/14/facebook-posts/whoopi-goldberg-didnt-get-the-view-a-6-million-fed/,Facebook posts
Girl Scout cookies are “toxic” because a study showed they contain glyphosate and heavy metals.,Girl Scout cookies are “toxic” because a study showed they contain glyphosate and heavy metals.,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/14/social-media/are-girl-scout-cookies-toxic-no-experts-say-studys/,Social Media
Video shows “Stacey Abrams admits the $2 billion Joe Biden’s EPA gave her was used to buy votes of people in Georgia by purchasing them new appliances.”,Video shows “Stacey Abrams admits the $2 billion Joe Biden’s EPA gave her was used to buy votes of people in Georgia by purchasing them new appliances.”,0.052993226484439895,Positive,https://www.politifact.com/factchecks/2025/mar/14/facebook-posts/stacey-abrams-didnt-admit-to-using-2-billion-from/,Facebook posts
“Tariffs are a tax cut for the American people.”,“Tariffs are a tax cut for the American people.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/13/karoline-leavitt/karoline-leavitt-says-tariffs-are-a-tax-cut-econom/,Karoline Leavitt
“Eliminate school choice” is on Susan Crawford’s agenda.,“Eliminate school choice” is on Susan Crawford’s agenda.,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/13/brad-schimel/no-evidence-that-eliminating-school-choice-is-on-s/,Brad Schimel
"“Under the previous administration … the cost of a median-price home in America more than doubled, and that was just in four years.”","“Under the previous administration … the cost of a median-price home in America more than doubled, and that was just in four years.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/12/jd-vance/did-the-cost-of-buying-a-home-double-under-joe-bid/,JD Vance
“The number of full-time jobs (was) dropping almost the entire Biden administration.”,“The number of full-time jobs (was) dropping almost the entire Biden administration.”,0.0,Positive,https://www.politifact.com/factchecks/2025/mar/11/rick-scott/sen-rick-scott-wrong-that-full-time-jobs-dropped-u/,Rick Scott
"During President Joe Biden’s four years in office, “31% of U.S. job growth” came from public-sector jobs.","During President Joe Biden’s four years in office, “31% of U.S. job growth” came from public-sector jobs.",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/11/tweets/end-wokeness-post-overstates-government-jobs-role/,X posts
El 3 de marzo del 2025 falleció el presidente Donald Trump en un accidente de helicóptero.,El 3 de marzo del 2025 falleció el presidente Donald Trump en un accidente de helicóptero.,0.12348553015640758,Negative,https://www.politifact.com/factchecks/2025/mar/11/facebook-posts/no-el-presidente-donald-trump-no-fallecio-en-un-ac/,Facebook posts
"""All armed services are having among the best recruiting results ever” because of Trump policies, and “it was just a few months ago where the results were exactly the opposite.”","""All armed services are having among the best recruiting results ever” because of Trump policies, and “it was just a few months ago where the results were exactly the opposite.”",0.0,Positive,https://www.politifact.com/factchecks/2025/mar/11/donald-trump/military-recruitment-is-up-donald-trump-joe-biden/,Donald Trump
“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/11/better-wisconsin-together/did-court-candidate-schimel-not-join-71-wisconsin/,A Better Wisconsin Together
Photo shows first lady Melania Trump crying.,Photo shows first lady Melania Trump crying.,0.041532123295265615,Negative,https://www.politifact.com/factchecks/2025/mar/10/facebook-posts/image-of-weeping-first-lady-melania-trump-is-ai-ge/,Facebook posts
Video shows President Donald Trump admitting he became president because of a “rigged” 2024 election.,Video shows President Donald Trump admitting he became president because of a “rigged” 2024 election.,0.07626887094985563,Negative,https://www.politifact.com/factchecks/2025/mar/10/social-media/trump-didnt-say-he-became-president-because-of-the/,Social Media
Audio shows a BBC reporter making a vulgar comment about an Oval Office meeting between President Donald Trump and Ukraine President Volodymyr Zelenskyy.,Audio shows a BBC reporter making a vulgar comment about an Oval Office meeting between President Donald Trump and Ukraine President Volodymyr Zelenskyy.,0.06578562846346805,Negative,https://www.politifact.com/factchecks/2025/mar/10/social-media/audio-of-bbc-reporter-making-snide-comment-about-t/,Social Media
"""Nueva orden ejecutiva desde la Casa Blanca tiene identificado a más de 47,000 cubanos con residencia legal los cuales serán puestos en proceso de deportación por haber viajado a Cuba después de su aprobación de asilo político"".","""Nueva orden ejecutiva desde la Casa Blanca tiene identificado a más de 47,000 cubanos con residencia legal los cuales serán puestos en proceso de deportación por haber viajado a Cuba después de su aprobación de asilo político"".",0.1378587926683057,Positive,https://www.politifact.com/factchecks/2025/mar/10/facebook-posts/no-hay-una-orden-ejecutiva-diciendo-que-47000-cuba/,Facebook posts
"Myrtle Beach, South Carolina, area fires were intentional to build a “smart city.”","Myrtle Beach, South Carolina, area fires were intentional to build a “smart city.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/10/social-media/wildfires-werent-deliberately-set-to-make-way-for/,Social Media
"A partir del 28 de febrero “para comprar en supermercados pedirán tu identificación, pero no es por seguridad, es para cazar inmigrantes ilegales”.","A partir del 28 de febrero “para comprar en supermercados pedirán tu identificación, pero no es por seguridad, es para cazar inmigrantes ilegales”.",0.08870440305261837,Negative,https://www.politifact.com/factchecks/2025/mar/10/tiktok-posts/supermercados-en-eeuu-no-estan-pidiendo-identifica/,TikTok posts
"""Apple quietly removed International Women’s Day from their calendar app.”","""Apple quietly removed International Women’s Day from their calendar app.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/07/social-media/apple-didnt-remove-international-womens-day-from-i/,Social Media
U.S. Agency for International Development subsidized CNN and MSNBC hosts’ salaries.,U.S. Agency for International Development subsidized CNN and MSNBC hosts’ salaries.,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/07/laura-loomer/no-usaid-didnt-subsidize-cnn-and-msnbc-hosts-salar/,Laura Loomer
U.S. Rep. Nancy Pelosi’s vineyard received $14 million in U.S. Agency for International Development funds for “experimental farming.”,U.S. Rep. Nancy Pelosi’s vineyard received $14 million in U.S. Agency for International Development funds for “experimental farming.”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/07/social-media/nancy-pelosi-didnt-get-14-million-in-usaid-funding/,Social Media
Elon Musk’s Department of Government Efficiency is “polling very well. It’s very popular.”,Elon Musk’s Department of Government Efficiency is “polling very well. It’s very popular.”,0.0,Positive,https://www.politifact.com/factchecks/2025/mar/06/larry-kudlow/is-elon-musks-doge-very-popular-thats-not-what-the/,Larry Kudlow
“DOGE stopped an annual payment to Barack Obama for $2.6 million for ‘royalties associated with Obamacare.’”,“DOGE stopped an annual payment to Barack Obama for $2.6 million for ‘royalties associated with Obamacare.’”,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/05/social-media/old-claim-about-obamacare-royalties-resurfaces-wit/,Social Media
The Trump administration identified $1.9 billion in federal dollars going to a “decarbonization of homes” group Stacey Abrams “headed up.”,The Trump administration identified $1.9 billion in federal dollars going to a “decarbonization of homes” group Stacey Abrams “headed up.”,0.036514345399809814,Negative,https://www.politifact.com/factchecks/2025/mar/05/donald-trump/fact-checking-trumps-claim-that-a-group-headed-up/,Donald Trump
"President Donald Trump posted on X that “If the Dow drops 1,000 points in two days the President should be impeached immediately.”","President Donald Trump posted on X that “If the Dow drops 1,000 points in two days the President should be impeached immediately.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/05/tweets/no-trump-didnt-post-that-the-president-should-be-i/,X posts
Elon Musk posted on X that billionaires are “tired of subsidizing” public services.,Elon Musk posted on X that billionaires are “tired of subsidizing” public services.,0.0,Negative,https://www.politifact.com/factchecks/2025/mar/04/social-media/no-elon-musk-didnt-say-billionaires-are-tired-of-s/,Social Media
"“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”","“After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee.”",0.0,Negative,https://www.politifact.com/factchecks/2025/mar/03/cavalier-johnson/mps-does-indeed-have-a-larger-tax-levy-than-the-ci/,Cavalier Johnson
"“DOGE discovers Louisiana man with 34 different names, addresses, and Social Security numbers. He was collecting $1,168,646 in (Social Security) per year.”","“DOGE discovers Louisiana man with 34 different names, addresses, and Social Security numbers. He was collecting $1,168,646 in (Social Security) per year.”",0.017110966454078034,Positive,https://www.politifact.com/factchecks/2025/feb/28/facebook-posts/did-doge-discover-a-louisiana-man-with-34-social-s/,Facebook posts
“The Texas measles outbreak is pure propaganda” because media outlets used stock images.,“The Texas measles outbreak is pure propaganda” because media outlets used stock images.,0.019245008972987525,Negative,https://www.politifact.com/factchecks/2025/feb/28/threads-posts/stock-photos-in-news-reports-dont-mean-texas-measl/,Threads posts
"Maine Gov. Janet Mills said, “If (President) Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government.”","Janet Mills said, “If (President) Donald Trump stops federal funding to Maine, we the people of Maine will take out federal taxes from all paychecks and no taxes will be paid to the federal government.” Maine Gov.",0.12100413938860372,Negative,https://www.politifact.com/factchecks/2025/feb/28/social-media/did-maine-gov-janet-mills-tell-trump-no-federal-ta/,Social Media
"A measles outbreak in Gaines County, Texas, was caused by “a public health initiative” to “distribute free measles vaccines.”","A measles outbreak in Gaines County, Texas, was caused by “a public health initiative” to “distribute free measles vaccines.”",0.03849001794597505,Positive,https://www.politifact.com/factchecks/2025/feb/28/facebook-posts/no-a-vaccine-campaign-did-not-cause-the-gaines-cou/,Facebook posts
“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,“90% of the (school) districts in Wisconsin already have a policy” banning cellphones during class time.,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/28/joel-kitchens/do-90-of-wisconsin-school-districts-ban-cellphones/,Joel Kitchens
"Zero votes for 2024 Democratic presidential nominee Kamala Harris in Rockland County, New York, precinct proves Elon Musk hacked 2024 presidential election.","Zero votes for 2024 Democratic presidential nominee Kamala Harris in Rockland County, New York, precinct proves Elon Musk hacked 2024 presidential election.",0.046305480867199905,Negative,https://www.politifact.com/factchecks/2025/feb/26/social-media/why-did-kamala-harris-get-zero-votes-in-this-ny-pr/,Social Media
"Former President Joe Biden “fired” 14,000 Keystone XL pipeline workers “​​on day one” of his administration.","Former President Joe Biden “fired” 14,000 Keystone XL pipeline workers “​​on day one” of his administration.",0.0,Negative,https://www.politifact.com/factchecks/2025/feb/26/facebook-posts/joe-biden-ending-the-keystone-xl-pipeline-didnt-fi/,Facebook posts
“We've never audited government for 100 years.”,“We've never audited government for 100 years.”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/26/kevin-oleary/kevin-oleary-shark-tanks-mr-wonderful-says-no-gove/,Kevin O'Leary
"U.S. Secretary of Health and Human Services Robert F. Kennedy Jr. wrote on X, “In my first 6 months as HHS secretary … I’ll ban chemtrails.”","U.S. Secretary of Health and Human Services Robert F. Kennedy Jr. wrote on X, “In my first 6 months as HHS secretary … I’ll ban chemtrails.”",0.02376199929814778,Negative,https://www.politifact.com/factchecks/2025/feb/26/viral-image/no-this-isnt-an-authentic-x-post-from-health-secre/,Viral image
“Breaking News: Rep. Ilhan Omar has been removed from the House Foreign Affairs Committee.”,“Breaking News: Rep. Ilhan Omar has been removed from the House Foreign Affairs Committee.”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/26/instagram-posts/no-ilhan-omar-wasnt-just-removed-from-the-house-fo/,Instagram posts
“La presidenta de México Claudia Sheinbaum PROHIBE la entrada al nuevo IPHONE de la empresa tecnológica.”,“La presidenta de México Claudia Sheinbaum PROHIBE la entrada al nuevo IPHONE de la empresa tecnológica.”,0.08617203359939898,Negative,https://www.politifact.com/factchecks/2025/feb/26/facebook-posts/la-presidenta-de-mexico-claudia-sheinbaum-no-dijo/,Facebook posts
Photos show Elon Musk in a fight during a science conference.,Photos show Elon Musk in a fight during a science conference.,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/26/facebook-posts/no-elon-musk-didnt-get-in-a-physical-fight-during/,Facebook posts
“Stacey Abrams stole $2 BILLION from taxpayers.”,“Stacey Abrams stole $2 BILLION from taxpayers.”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/26/facebook-posts/without-evidence-social-media-posts-claim-fraud-in/,Facebook posts
"“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""","“I am not making this up: Republicans have introduced legislation … to increase your bank fees.""",0.02425350516820244,Positive,https://www.politifact.com/factchecks/2025/feb/26/pete-buttigieg/did-republicans-propose-increasing-bank-fees-as-bu/,Pete Buttigieg
"It’s “official” that President Donald Trump is signing an “order from Elon Musk giving taxpayers who have filed their 2024 tax returns a stimulus check for $5,000.”","It’s “official” that President Donald Trump is signing an “order from Elon Musk giving taxpayers who have filed their 2024 tax returns a stimulus check for $5,000.”",0.0,Positive,https://www.politifact.com/factchecks/2025/feb/26/facebook-posts/is-it-official-that-trump-approved-a-5000-doge-div/,Facebook posts
“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,“The single biggest driver of our national debt since 2001 has been Republican tax cuts.”,0.014907119849998597,Negative,https://www.politifact.com/factchecks/2025/feb/25/patty-murray/are-republican-tax-cuts-the-single-biggest-driver/,Patty Murray
“Noticia de Ultima Hora! Su Santidad el Papa Francisco ha fallecido” el 24 de febrero del 2025.,Su Santidad el Papa Francisco ha fallecido” el 24 de febrero del 2025. “Noticia de Ultima Hora!,0.10909068506987941,Positive,https://www.politifact.com/factchecks/2025/feb/25/facebook-posts/no-el-papa-francisco-no-fallecio-el-24-de-febrero/,Facebook posts
“Malia Obama received $2.2 million in funds from USAID.”,“Malia Obama received $2.2 million in funds from USAID.”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/25/instagram-posts/no-former-first-daughter-malia-obama-didnt-get-22/,Instagram posts
"Pope Francis died as of Feb. 23, 2025.","Pope Francis died as of Feb. 23, 2025.",0.0,Negative,https://www.politifact.com/factchecks/2025/feb/25/facebook-posts/no-pope-francis-wasnt-dead-as-of-feb-23/,Facebook posts
Ukraine President Volodymyr Zelenskyy “blocked Truth Social in Ukraine.”,Ukraine President Volodymyr Zelenskyy “blocked Truth Social in Ukraine.”,0.0,Positive,https://www.politifact.com/factchecks/2025/feb/25/social-media/no-zelenskyy-did-not-ban-truth-social-in-ukraine/,Social Media
The Chicago Cubs owner is bankrolling Brad Schimel.,The Chicago Cubs owner is bankrolling Brad Schimel.,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/25/social-media/claim-that-chicago-cubs-owner-gave-to-wis-supreme/,Social Media
Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/24/threads-posts/elon-musk-didnt-post-that-he-would-suspend-volodym/,Threads posts
"""The Philadelphia Eagles have declined their invitation to the White House,” as of Feb. 24.","""The Philadelphia Eagles have declined their invitation to the White House,” as of Feb. 24.",0.0,Negative,https://www.politifact.com/factchecks/2025/feb/24/social-media/did-philadelphia-eagles-decline-trump-white-house/,Social Media
Elon Musk “contracted a helicopter and the first DOGE payments are being” dispersed in California.,Elon Musk “contracted a helicopter and the first DOGE payments are being” dispersed in California.,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/24/facebook-posts/no-doge-didnt-drop-cash-from-a-helicopter-video-us/,Facebook posts
“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”,“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/21/instagram-posts/no-the-delta-air-lines-plane-that-crashed-in-toron/,Instagram posts
"Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”","Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”",0.0,Positive,https://www.politifact.com/factchecks/2025/feb/21/viral-image/no-luigi-mangione-didnt-post-this-napoleon-bonapar/,Viral image
“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”,“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”,0.0,Negative,https://www.politifact.com/factchecks/2025/feb/21/facebook-posts/no-this-old-news-footage-doesnt-prove-former-presi/,Facebook posts
